;title;price;date;cond;area;rooms;bathrooms;garage_slots;address;bairro;CEP;apartment_url;imd_distance;size_class;city
59;Casa para aluguel possui 70 metros quadrados com 2 quartos em Lagoa Seca - Natal - RN;730;21:15 2023/4/15;0;0.0;0;;0;Lagoa Seca, Rua Aristides Lobo;Lagoa Seca;59022210;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-para-aluguel-possui-70-metros-quadrados-com-2-quartos-em-lagoa-seca-natal-rn-935650596;0;0;Lagoa Seca
60;Apartamento Locação Vizinho ao Shopping Midway.;950;10:30 2023/4/8;0;60.0;1;1;1;Lagoa Nova, Travessa São Vicente;Lagoa Nova;59052510;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-locacao-vizinho-ao-shopping-midway-1078006339;0;7;Lagoa Nova
61;NATAL - Apartamento Padrão - Lagoa Nova;850;18:35 2023/4/19;0;50.0;1;;0;Lagoa Nova, Avenida Antônio Basílio - de 1560 a 2266 - lado par;Lagoa Nova;59054380;https://rn.olx.com.br/rio-grande-do-norte/imoveis/natal-apartamento-padrao-lagoa-nova-1175149672;0;6;Lagoa Nova
62;KITNET PARA LOCAÇÃO NO ALECRIM;500;14:45 2023/5/6;0;40.0;1;1;0;Lagoa Nova, Travessa São Vicente;Lagoa Nova;59052510;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-para-locacao-no-alecrim-1181905085;0;5;Lagoa Nova
63;Aluga-se Quitinete em Pitangui;500;15:54 2023/3/29;0;45.0;1;1;1;Lagoa Nova, Avenida Senador Salgado Filho - de 1900 a 2860 - lado par;Lagoa Nova;59075000;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-quitinete-em-pitangui-1165427478;0;5;Lagoa Nova
64;Apartamento/Kitnet, próx. Portugal Center. R$ 800,00 (Inclusos: Caern, Iptu, Tx. Condom.);800;12:35 2023/5/7;0;40.0;1;1;0;Lagoa Nova, Avenida Amintas Barros - de 3834 a 4426 - lado par;Lagoa Nova;59075015;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-kitnet-prox-portugal-center-r-800-00-inclusos-caern-iptu-tx-condom-1157713703;0;5;Lagoa Nova
65;Kit net;900;14:03 2023/4/5;0;0.0;1;1;0;Lagoa Nova, Avenida Senador Salgado Filho - de 1561/1562 a 1847/1848;Lagoa Nova;59056000;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kit-net-1168528717;0;0;Lagoa Nova
66;Casa em Lagoa Nova;650;11:22 2023/4/2;0;0.0;0;1;0;Lagoa Nova, Rua São Vicente;Lagoa Nova;59054610;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-em-lagoa-nova-1166957323;0;0;Lagoa Nova
67;Kitnet/conjugado para aluguel possui 26 metros quadrados com 1 quarto em Lagoa Nova - Nata;850;19:13 2023/4/19;0;0.0;0;;0;Lagoa Nova, Rua Historiador Tobias Monteiro - de 1981/1982 ao fim;Lagoa Nova;59075120;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-conjugado-para-aluguel-possui-26-metros-quadrados-com-1-quarto-em-lagoa-nova-nata-1175163066;0;0;Lagoa Nova
68;Kitnet Apartamento (UnP + Nordestao);890;13:47 2023/3/11;0;0.0;0;;0;Lagoa Nova, Avenida Antônio Basílio - de 2842 a 3410 - lado par;Lagoa Nova;59056005;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-apartamento-unp-nordestao-1157873053;0;0;Lagoa Nova
69;Alugo apartamento ;900;20:45 2023/5/4;0;0.0;0;;0;Lagoa Nova, Rua Monsenhor João da Mata Paiva;Lagoa Nova;59075020;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apartamento-1181146233;0;0;Lagoa Nova
70;Venha morar em um Apartamento no bairro nobre de Capim Macio, (próximo do Nordestão);900;14:36 2023/4/1;0;48.0;1;1;1;Capim Macio, Avenida Odilon Gomes de Lima;Capim Macio;59078400;https://rn.olx.com.br/rio-grande-do-norte/imoveis/venha-morar-em-um-apartamento-no-bairro-nobre-de-capim-macio-proximo-do-nordestao-1074327401;0;6;Capim Macio
71;Kit net Capim Macio;700;17:57 2023/4/5;0;40.0;1;1;0;Capim Macio, Rua Joaquim Quirino da Costa;Capim Macio;59082075;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kit-net-capim-macio-1168635276;0;5;Capim Macio
72;aluga-se kitnet;850;11:22 2023/4/15;0;46.0;1;1;1;Capim Macio, Rua Dona Maria Câmara;Capim Macio;59082430;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-kitnet-1173252717;0;5;Capim Macio
73;Kitnet/conjugado para aluguel com 40 metros quadrados com 1 quarto em Capim Macio - Natal ;850;17:23 2023/4/14;0;40.0;1;1;0;Capim Macio, Rua Doutor Alexander Fleming;Capim Macio;59082020;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-conjugado-para-aluguel-com-40-metros-quadrados-com-1-quarto-em-capim-macio-natal-1143473581;0;5;Capim Macio
74;Kitnet em Cidade Jardim;800;13:38 2023/4/13;0;37.0;1;1;0;Capim Macio, Avenida Governador José Varela;Capim Macio;59078300;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-em-cidade-jardim-840530811;0;4;Capim Macio
75;Aluga-se apartamento 1 amplo quarto em Capim Macio Natal RN;825;15:14 2023/5/3;0;35.0;1;1;0;Capim Macio, Rua Walter Duarte Pereira;Capim Macio;59082470;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-se-apartamento-1-amplo-quarto-em-capim-macio-natal-rn-1180523605;0;4;Capim Macio
76;Apartamento padrão ;825;08:23 2023/5/6;0;35.0;1;1;0;Capim Macio, Rua Walter Duarte Pereira;Capim Macio;59082470;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-padrao-1181728662;0;4;Capim Macio
77;Kitnet em Mirassol próximo à UFRN;750;13:06 2023/5/3;0;0.0;1;1;0;Capim Macio, Rua das Angélicas;Capim Macio;59078130;https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitnet-em-mirassol-proximo-a-ufrn-1180455303;0;0;Capim Macio
78;Aluguel de Casa em Mirassol, próximo a UFRN;800;15:14 2023/4/22;0;0.0;1;1;1;Capim Macio, Rua das Hortênsias;Capim Macio;59078140;https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluguel-de-casa-em-mirassol-proximo-a-ufrn-1176143255;0;0;Capim Macio
79;Flat em Ponta Negra - Natal/RN bem localizado;950;14:46 2023/5/3;0;0.0;1;1;0;Capim Macio, Rua Maria Lamas Farache;Capim Macio;59082324;https://rn.olx.com.br/rio-grande-do-norte/imoveis/flat-em-ponta-negra-natal-rn-bem-localizado-1180508781;0;0;Capim Macio
80;Apartamento para Locação em Natal, Capim Macio, 3 dormitórios, 2 banheiros, 1 vaga;950;16:42 2023/4/12;0;80.0;0;;1;Capim Macio, Avenida Professor Olavo Montenegro;Capim Macio;59078330;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-locacao-em-natal-capim-macio-3-dormitorios-2-banheiros-1-vaga-1148025824;0;10;Capim Macio
81;Apartamento para Alugar - Capim Macio - Natal/RN;950;08:49 2023/4/9;0;70.0;0;;1;Capim Macio, Rua Desembargador José Gomes da Costa;Capim Macio;59082140;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-para-alugar-capim-macio-natal-rn-1156066475;0;8;Capim Macio
82;Ap para alugar no condomínio flamboyantes, natal Rn.;750;18:55 2023/4/30;0;60.0;0;1;1;Capim Macio, Rua Prefeito Expedito Alves;Capim Macio;59082440;https://rn.olx.com.br/rio-grande-do-norte/imoveis/ap-para-alugar-no-condominio-flamboyantes-natal-rn-1179448659;0;7;Capim Macio
83;Condomínio Serrambi II, aluga-se ;830;10:08 2023/3/24;0;56.0;0;1;1;Capim Macio, Rua Humberto Monte;Capim Macio;59082190;https://rn.olx.com.br/rio-grande-do-norte/imoveis/condominio-serrambi-ii-aluga-se-1163444647;0;7;Capim Macio
84;Apartamento Residencial / Capim Macio;900;13:58 2023/4/27;0;40.0;0;1;0;Capim Macio, Rua Escritor Peregrino Júnior;Capim Macio;59082165;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-residencial-capim-macio-1178179144;0;5;Capim Macio
85;Alugo apto no condomínio jardim Lisiane em capim macio ;790;09:25 2023/5/4;0;0.0;0;;0;Capim Macio, Rua Antônio Farache;Capim Macio;59082110;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apto-no-condominio-jardim-lisiane-em-capim-macio-1180823917;0;0;Capim Macio
86;Casa ponta negra;850;22:21 2023/3/28;0;0.0;0;;0;Capim Macio, Avenida Governador José Varela;Capim Macio;59078300;https://rn.olx.com.br/rio-grande-do-norte/imoveis/casa-ponta-negra-1165189654;0;0;Capim Macio
87;Alugo/ vendo/troco/ Apartamento em Capim Macio Natal. ;850;21:31 2023/4/27;0;0.0;0;;0;Capim Macio, Rua Ismael Pereira da Silva;Capim Macio;59082000;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-vendo-troco-apartamento-em-capim-macio-natal-1178384892;0;0;Capim Macio
88;Apartamento;900;16:22 2023/5/5;0;0.0;0;;0;Capim Macio, Rua Prefeito Expedito Alves;Capim Macio;59082440;https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-1181474582;0;0;Capim Macio
89;ALUGO APT. FLAMBOYANTS/CAPIM MACIO;900;11:16 2023/4/29;0;0.0;0;;0;Capim Macio, Rua Walter Duarte Pereira;Capim Macio;59082470;https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apt-flamboyants-capim-macio-1178983837;0;0;Capim Macio
